MovieID,Title,AvgRating,Count
5556,FearDotCom (a.k.a. Fear.com) (a.k.a. Fear Dot Com) (2002),1.756,348
4676,Troop Beverly Hills (1989),2.290,454
2962,Fever Pitch (1997),3.366,242
6152,"Yor, the Hunter from the Future (1983)",1.686,51
3214,American Flyers (1985),3.347,255
7230,"Silencers, The (1966)",2.929,28
2359,Waking Ned Devine (1998),3.825,3807
4393,Another Woman (1988),3.645,100
3925,Stranger Than Paradise (1984),3.893,574
2531,Battle for the Planet of the Apes (1973),2.746,1177
4239,Blow (2001),3.635,3270
52448,Goya's Ghosts (2006),3.298,42
48150,"Woods, The (2006)",2.650,10
4756,"Musketeer, The (2001)",2.589,455
4980,Bill & Ted's Bogus Journey (1991),2.896,1866
2179,Topaz (1969),3.082,202
6908,"Black Scorpion, The (1957)",2.107,14
26982,Men With Guns (1997),3.500,11
4535,"Man From Snowy River, The (1982)",3.707,610
2799,Problem Child 2 (1991),1.725,644
51931,Reign Over Me (2007),3.658,301
7375,"Prince & Me, The (2004)",3.032,221
2626,Edge of Seventeen (1998),3.537,150
6089,"J. Gang Meets Dynamite Harry, The (Jönssonligan & DynamitHarry) (1982)",2.292,12
4358,Macabre (1958),2.217,23
170,Hackers (1995),3.178,4141
2947,Goldfinger (1964),3.772,5946
602,"Great Day in Harlem, A (1994)",4.062,208
3529,"Postman Always Rings Twice, The (1981)",3.411,607
7889,Pat Garrett and Billy the Kid (1973),3.431,123
52456,Perfect Stranger (2007),2.779,129
6201,Lady Jane (1986),3.595,142
5842,Too Beautiful for You (Trop belle pour toi) (1989),3.104,48
5679,"Ring, The (2002)",3.482,4639
6094,Liquid Sky (1982),3.188,112
6468,"Stranger Among Us, A (1992)",2.855,69
1899,Passion in the Desert (1998),3.164,55
1632,"Smile Like Yours, A (1997)",2.419,123
62792,Pride and Glory (2008),3.167,15
76,Screamers (1995),3.008,2068
3767,Missing in Action 2: The Beginning (1985),2.026,293
27797,"Man Who Copied, The (O Homem que Copiava) (2003)",3.797,32
749,"Man from Down Under, The (1943)",2.741,29
37955,Innocence (2004),3.450,20
63540,Beverly Hills Chihuahua (2008),1.333,12
62764,Black Moon (1975),2.500,2
960,Angel on My Shoulder (1946),3.457,94
6981,"Word, The (Ordet) (1955)",4.157,54
65011,Zona Zamfirova (2002),4.000,1
350,"Client, The (1994)",3.464,9879
1797,Everest (1998),3.922,1174
2123,All Dogs Go to Heaven (1989),2.873,1242
178,Love & Human Remains (1993),3.435,322
460,Getting Even with Dad (1994),2.441,557
867,Carpool (1996),2.412,210
37976,"Flowers of St. Francis (Francesco, giullare di Dio) (1950)",3.750,4
3627,Carnival of Souls (1962),3.439,334
33171,Mysterious Skin (2004),3.783,321
3872,"Suddenly, Last Summer (1959)",3.770,280
3433,Death Wish 4: The Crackdown (1987),1.812,170
26258,"Topo, El (1970)",3.954,97
7845,Tremors II: Aftershocks (1996),2.591,232
893,Mother Night (1996),3.665,370
49961,Notes on a Scandal (2006),3.835,486
7449,Godsend (2004),2.367,229
6033,Mystery Date (1991),2.780,41
5923,Author! Author! (1982),2.968,94
6997,Hoffa (1992),3.205,219
1591,Spawn (1997),2.592,2803
4254,Crocodile Dundee in Los Angeles (2001),2.159,801
1615,"Edge, The (1997)",3.479,1452
1180,Hear My Song (1991),3.744,326
6872,"House of the Dead, The (2003)",1.323,231
3069,"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972)",3.697,150
59258,Baby Mama (2008),3.189,151
5831,Soul Assassin (2001),2.375,8
6445,Cloak and Dagger (1946),3.264,36
64114,Fireproof (2008),2.000,1
7005,King Ralph (1991),2.374,318
4612,Jesus of Montreal (Jésus de Montréal) (1989),3.813,347
1306,Until the End of the World (Bis ans Ende der Welt) (1991),3.587,683
650,Moll Flanders (1996),3.459,884
8119,Crossroads (1986),3.021,121
5506,Blood Work (2002),3.095,553
7572,Wit (2001),3.871,272
7920,Desperate Living (1977),3.770,63
4942,"Angry Red Planet, The (1959)",2.698,53
6688,Autumn Spring (Babí léto) (2001),3.816,19
2174,Beetlejuice (1988),3.452,10849
39398,C.S.A.: The Confederate States of America (2004),3.060,50
39869,Manderlay (2005),3.772,162
5168,Royal Wedding (1951),3.522,135
4286,"Home of Our Own, A (1993)",3.197,71
30949,"Grateful Dead Movie, The (1977)",3.138,29
62063,Dead Man's Letters (Pisma myortvogo cheloveka) (1986),3.000,1
3785,Scary Movie (2000),2.807,4275
7028,Quick Change (1990),3.581,358
120,Race the Sun (1996),2.833,84
6192,Open Hearts (Elsker dig for evigt) (2002),3.677,62
60333,Encounters At The End Of The World (2008),3.850,40
683,"Eye of Vichy, The (L'Oeil de Vichy) (1993)",2.646,24
536,"Simple Twist of Fate, A (1994)",3.253,449
1187,Passion Fish (1992),3.684,755
4478,Biloxi Blues (1988),3.358,658
3042,Meatballs III (1987),1.545,242
6339,Man on the Train (L'Homme du train) (2002),3.759,245
4158,Monkeybone (2001),2.271,533
5186,Honeysuckle Rose (a.k.a. On the Road Again) (1980),2.843,35
58806,Smart People (2008),3.119,118
2877,Tommy (1975),3.064,1033
40723,Wolf Creek (2005),2.995,210
34330,November (2004),2.846,26
721,Halfmoon (Paul Bowles - Halbmond) (1995),2.900,15
32954,"Chant of Jimmy Blacksmith, The (1978)",3.583,6
5032,Romantic Comedy (1983),2.250,24
25805,"Atalante, L' (1934)",3.938,81
3378,"Ogre, The (Der Unhold) (1996)",3.368,34
38824,Mother of Mine (Äideistä parhain) (2005),3.000,7
531,"Secret Garden, The (1993)",3.573,3972
1179,"Grifters, The (1990)",3.744,4130
3658,Quatermass and the Pit (1967),3.735,219
8404,"Hound of the Baskervilles, The (1939)",3.626,215
228,Destiny Turns on the Radio (1995),2.752,290
8668,Some Girl (1998),3.400,5
6758,Emerald Cowboy (2002),3.000,1
6721,Once Upon a Time in China (Wong Fei-hung) (1991),3.734,488
7142,Honey (2003),2.500,174
4789,Phantom of the Paradise (1974),3.232,177
6988,Broken Blossoms (1919),3.413,63
57526,Untraceable (2008),3.017,118
8013,I'm with Lucy (2002),3.432,37
5175,Hidden Agenda (1990),3.146,24
62010,Tears of April (Käsky) (2008),2.875,4
500,Mrs. Doubtfire (1993),3.409,19214
599,"Wild Bunch, The (1969)",4.031,1750
6013,Kangaroo Jack (2003),1.854,319
