TargetUser,NeighborUser,Similarity
1001,61188,0.808982
1001,57519,0.778755
1001,23119,0.774213
1001,51501,0.762308
1001,48239,0.758901
1001,37249,0.752960
1001,68981,0.752097
1001,18532,0.752008
1001,44374,0.751447
1001,2629,0.749605
1001,68353,0.749605
1001,64520,0.748487
1001,25921,0.745924
1001,37812,0.745300
1001,15946,0.741312
1001,64877,0.738669
1001,14875,0.737504
1001,48327,0.737274
1001,16280,0.736795
1001,22209,0.736341
1001,48603,0.735496
1001,59548,0.733198
1001,50571,0.731431
1001,42172,0.731106
1001,31318,0.730112
1001,31025,0.729561
1001,22718,0.727957
1001,66357,0.727591
1001,48989,0.727547
1001,38798,0.726917
1001,31851,0.726847
1001,7148,0.726722
1001,62699,0.726572
1001,16874,0.726487
1001,40770,0.725586
1001,609,0.724139
1001,45244,0.724139
1001,53452,0.723984
1001,12867,0.723370
1001,56267,0.720834
1001,19326,0.720044
1001,31149,0.720014
1001,63550,0.718857
1001,6152,0.718421
1001,42577,0.717741
1001,2263,0.717225
1001,59360,0.717141
1001,60032,0.717065
1001,12769,0.716755
1001,18653,0.716414
