TargetUser,MovieID,Title,PredictedRating
10000,1025,"Sword in the Stone, The (1963)",5.0000
10000,4187,Lilies of the Field (1963),5.0000
10000,5446,Rabbit-Proof Fence (2002),5.0000
10000,3983,You Can Count on Me (2000),5.0000
10000,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),5.0000
10000,7323,"Good bye, Lenin! (2003)",5.0000
10000,3083,All About My Mother (Todo sobre mi madre) (1999),5.0000
10000,51884,"Namesake, The (2006)",5.0000
10000,5038,"Flight of Dragons, The (1982)",5.0000
10000,2085,One Hundred and One Dalmatians (a.k.a. 101 Dalmatians) (1961),5.0000
